333.7154 	DATA 	Mouse: wheel shift=(0,1), pos=(1393,266)
333.9674 	DATA 	Mouse: wheel shift=(0,1), pos=(1393,266)
344.7475 	DATA 	Mouse: wheel shift=(0,-1), pos=(1579,419)
344.8132 	DATA 	Mouse: wheel shift=(0,-1), pos=(1579,419)
344.8558 	DATA 	Mouse: wheel shift=(0,-2), pos=(1579,419)
345.3902 	DATA 	Mouse: wheel shift=(0,1), pos=(1579,419)
345.4316 	DATA 	Mouse: wheel shift=(0,1), pos=(1579,419)
350.6220 	DATA 	Mouse: Left button down, pos=(1739,260)
350.6443 	EXP 	slider_right: markerPos = 2.9875
350.6600 	EXP 	slider_right: markerPos = 2.9875
350.6850 	EXP 	slider_right: markerPos = 2.9875
350.7100 	EXP 	slider_right: markerPos = 2.9875
350.7418 	EXP 	slider_right: markerPos = 2.9875
350.7465 	DATA 	Mouse:  Left button up, pos=(1739,260)
350.7683 	EXP 	slider_right: markerPos = 2.9875
350.7683 	EXP 	slider_right: rating = 2.9875
351.1708 	DATA 	Keypress: space
351.1823 	EXP 	New trial (rep=0, index=3): {'Numb': 55, 'picture_show': 'picture\\p16.tif', 'Video_1': 'GG_right_01_42\\GGY16.mp4', 'picture_judge': 'picture\\p16.tif'}
351.2353 	EXP 	image_judge: autoDraw = False
351.2353 	EXP 	image_judge_text: autoDraw = False
351.2353 	EXP 	slider_left: autoDraw = False
351.2353 	EXP 	slider_mid: autoDraw = False
351.2353 	EXP 	slider_right: autoDraw = False
351.2353 	EXP 	image_show: image = 'picture\\p16.tif'
351.2353 	EXP 	image_show_text: autoDraw = True
352.2153 	EXP 	image_show: autoDraw = True
352.2684 	EXP 	image_show_text: autoDraw = False
353.1893 	DATA 	Mouse: wheel shift=(0,1), pos=(1550,377)
353.2800 	DATA 	Mouse: wheel shift=(0,1), pos=(1550,377)
354.6871 	EXP 	window1: recordFrameIntervals = False
354.7082 	EXP 	image_show_text: autoDraw = False
354.7082 	EXP 	image_show: autoDraw = False
354.8100 	EXP 	window1: recordFrameIntervals = True
356.0177 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

356.0177 	WARNING 	FrameRate could not be supplied by psychopy; defaulting to 60.0
356.0179 	EXP 	Created video1 = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='GG_right_01_42\\GGY16.mp4', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='video1', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='norm', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
356.1598 	EXP 	video1: autoLog = True
356.1598 	EXP 	video1: movie = 'GG_right_01_42\\GGY16.mp4'
356.1598 	EXP 	video1: size = array([1.7, 2. ])
356.1598 	EXP 	video1: ori = 0.0
356.1598 	EXP 	image_video_text: autoDraw = True
357.1497 	EXP 	video1: autoDraw = True
357.1700 	EXP 	image_video_text: autoDraw = False
386.4155 	EXP 	Set video1 finished
386.4498 	EXP 	video1: autoDraw = False
386.4498 	EXP 	image_video_text: autoDraw = False
386.4498 	EXP 	image_judge: image = 'picture\\p16.tif'
386.4498 	EXP 	slider_left: markerPos = None
386.4498 	EXP 	slider_left: markerPos = None
386.4498 	EXP 	slider_left: rating = None
386.4498 	EXP 	slider_mid: markerPos = None
386.4498 	EXP 	slider_mid: markerPos = None
386.4498 	EXP 	slider_mid: rating = None
386.4498 	EXP 	slider_right: markerPos = None
386.4498 	EXP 	slider_right: markerPos = None
386.4498 	EXP 	slider_right: rating = None
386.4498 	EXP 	image_judge: autoDraw = True
386.4498 	EXP 	image_judge_text: autoDraw = True
386.4498 	EXP 	slider_left: autoDraw = True
386.4498 	EXP 	slider_mid: autoDraw = True
386.4498 	EXP 	slider_right: autoDraw = True
392.8306 	DATA 	Mouse: Left button down, pos=(1317,483)
392.8415 	EXP 	slider_mid: markerPos = 5.078125
392.8645 	EXP 	slider_mid: markerPos = 5.078125
392.8785 	EXP 	slider_mid: markerPos = 5.078125
392.8989 	EXP 	slider_mid: markerPos = 5.078125
392.9156 	EXP 	slider_mid: markerPos = 5.078125
392.9412 	EXP 	slider_mid: markerPos = 5.078125
392.9458 	DATA 	Mouse:  Left button up, pos=(1317,483)
392.9730 	EXP 	slider_mid: markerPos = 5.078125
392.9730 	EXP 	slider_mid: rating = 5.078125
394.0497 	DATA 	Mouse: Left button down, pos=(765,281)
394.1139 	DATA 	Mouse:  Left button up, pos=(765,281)
394.5211 	DATA 	Mouse: Left button down, pos=(802,267)
394.5411 	EXP 	slider_left: markerPos = 3.053125
394.5744 	EXP 	slider_left: markerPos = 3.053125
394.5994 	EXP 	slider_left: markerPos = 3.053125
394.6243 	EXP 	slider_left: markerPos = 3.053125
394.6289 	DATA 	Mouse:  Left button up, pos=(802,267)
394.6563 	EXP 	slider_left: markerPos = 3.053125
394.6563 	EXP 	slider_left: rating = 3.053125
395.5950 	DATA 	Mouse: Left button down, pos=(1760,369)
395.6172 	EXP 	slider_right: markerPos = 4.009375
395.6334 	EXP 	slider_right: markerPos = 4.009375
395.6562 	EXP 	slider_right: markerPos = 4.009375
395.6743 	EXP 	slider_right: markerPos = 4.009375
395.6994 	EXP 	slider_right: markerPos = 4.009375
395.7045 	DATA 	Mouse:  Left button up, pos=(1760,369)
395.7312 	EXP 	slider_right: markerPos = 4.009375
395.7312 	EXP 	slider_right: rating = 4.009375
398.1368 	DATA 	Mouse: Left button down, pos=(794,373)
398.1499 	EXP 	slider_left: markerPos = 4.046875000000001
398.1735 	EXP 	slider_left: markerPos = 4.046875000000001
398.1910 	EXP 	slider_left: markerPos = 4.046875000000001
398.2232 	EXP 	slider_left: markerPos = 4.046875000000001
398.2493 	EXP 	slider_left: markerPos = 4.046875000000001
