Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
141,F,M,180,R,N,141FM180RN,HRN,0,67,67,116,,,0.983,615.5214698,615.8181726,615.8181726,616.0536649,616.0726544,None,up,2.4960947,616.0726544,None,616.0726544,617.0342995,0.1724921,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,_2,N,45,_,_,__2N045__,N,0,68,68,73,,,1.202,618.7503775,619.0491527,619.0491527,619.2819075,619.2984501,None,up,3.2162389,619.2984501,None,619.2984501,620.4808223,0.1700522,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,R,M,225,_,_,_RM225__,N,0,69,69,21,,,1.062,622.7435046,623.0301837,623.0301837,623.2283991,623.2451279,None,down,2.4492209,623.2451279,None,623.2451279,624.2942641,0.2155614,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
232,G,N,315,L,N,232GN315LN,HLN,0,70,70,239,,,1.329,625.9421672,626.2424222,626.2424222,626.4089853,626.4257274,None,up,2.700242,626.4257274,None,626.4257274,627.7411817,0.233395,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
417,_4,N,0,L,N,417_4N000LN,HLN,0,71,71,264,,,0.768,629.3535276,629.6561925,629.6561925,629.8396775,629.8566475,None,up,1.5333177,629.8566475,None,629.8566475,630.6050657,0.2137951,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
289,_2,N,0,L,N,289_2N000LN,HLN,0,72,72,248,,,0.953,631.6631724,631.955055,631.955055,632.104042,632.1210123,None,up,1.6496498,632.1210123,None,632.1210123,633.0695852,0.2564178,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,F,N,45,_,_,_FN045__,N,0,73,73,49,,,0.732,633.9568473,634.2519409,634.2519409,634.4852848,634.5018438,None,up,1.8163172,634.5018438,None,634.5018438,635.2178541,0.1737825,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
301,_2,M,180,L,N,301_2M180LN,HLN,0,74,74,156,,,1.289,636.5196624,636.8164989,636.8164989,637.0331249,637.0498548,None,down,3.350183,637.0498548,None,637.0498548,638.3319797,0.1884941,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
487,_5,N,270,L,N,487_5N270LN,HLN,0,75,75,286,,,0.821,640.6358169,640.9298509,640.9298509,641.1131137,641.1306048,None,up,2.4822843,641.1306048,None,641.1306048,641.9455031,0.22254,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,G,M,180,_,_,_GM180__,N,0,76,76,12,,,0.894,643.8450549,644.1438044,644.1438044,644.3268974,644.3435174,None,None,,644.3435174,None,644.3435174,645.2265139,0.2164362,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
10,R,M,45,R,N,010RM045RN,HRN,0,77,77,97,,,0.887,648.0230985,648.3233874,648.3233874,648.5401433,648.5571804,648.0230985,down,2.2484863,648.5571804,None,648.5571804,649.4220978,0.1868148,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
234,G,M,45,L,N,234GM045LN,HLN,0,78,78,137,,,1.303,650.995828,651.2871924,651.2871924,651.5204758,651.5379337,None,down,3.0811592,651.5379337,None,651.5379337,652.8191982,0.1780607,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
14,R,M,225,R,N,014RM225RN,HRN,0,79,79,101,,,1.316,654.8384862,655.1337722,655.1337722,655.3337628,655.3505173,None,down,2.9651579,655.3505173,None,655.3505173,656.6506951,0.2066252,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
459,_5,M,90,R,N,459_5M090RN,HRN,0,80,80,178,,,1.312,658.4957579,658.7977565,658.7977565,659.0316837,659.0499161,None,None,,659.0499161,None,659.0499161,660.3466908,0.1663059,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
235,G,M,90,L,N,235GM090LN,HLN,0,81,81,138,,,1.213,662.824822,663.111815,663.111815,663.2273237,663.2435998,662.824822,up,3.2814489,663.2435998,None,663.2435998,664.4423282,0.2967741,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
272,_2,M,315,R,N,272_2M315RN,HRN,0,82,82,151,,,1.388,666.7234463,667.02358,667.02358,667.2398903,667.2566233,None,None,,667.2566233,None,667.2566233,668.6246165,0.1862213,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
268,_2,M,135,R,N,268_2M135RN,HRN,0,83,83,147,,,0.806,670.9246281,671.2198049,671.2198049,671.4366056,671.4531519,670.9246281,down,3.1159774,671.4531519,None,671.4531519,672.2368669,0.1930476,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
291,_2,N,90,L,N,291_2N090LN,HLN,0,84,84,250,,,1.232,674.8014998,675.0997749,675.0997749,675.2831441,675.3002483,None,up,2.833748,675.3002483,None,675.3002483,676.5154796,0.2168174,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
482,_5,N,45,L,N,482_5N045LN,HLN,0,85,85,281,,,1.069,678.4490978,678.7469604,678.7469604,678.8635884,678.8635884,None,up,1.9844043,678.8635884,None,678.8635884,679.9285422,0.2967165,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
